video_id,titulo,data_publicacao,descricao,visualizacoes,curtidas,comentarios,channel_id,channel_title,url,data_coleta,politico,partido,cargo
IOYcVgicG94,Olha a última do Wagner Moura,2026-08-09T20:00:39Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",258045,23960,726,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=IOYcVgicG94,2026-08-12,Renan Santos,MISSÃO,Candidato
VlbhS8bvBHA,Esquerda quer impedir meu primeiro ato de campanha.,2026-08-09T17:00:35Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",129991,15020,609,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=VlbhS8bvBHA,2026-08-12,Renan Santos,MISSÃO,Candidato
f0QfPuu_QAc,Esse aqui é meu vídeo de dia dos pais.,2026-08-09T14:14:47Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",74798,11166,346,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=f0QfPuu_QAc,2026-08-12,Renan Santos,MISSÃO,Candidato
NskOYpiTx6c,Limão Rosa -  AO VIVO,2026-08-09T03:12:43Z,"Assine a Newsletter do  ⁨@PartidoMissao⁩  
http://newsletter.partidomissao.com

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",43170,4677,170,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=NskOYpiTx6c,2026-08-12,Renan Santos,MISSÃO,Candidato
zG8JJZTQVWk,DISCURSO RENAN SANTOS AO VIVO | CONGRESSO PARANÁ,2026-08-08T23:29:51Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://renansantosmbl.com/zap

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",72414,9470,356,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=zG8JJZTQVWk,2026-08-12,Renan Santos,MISSÃO,Candidato
81nNu0azWF4,Esse caso aqui vai gerar pena de morte.,2026-08-08T20:00:37Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",24022,3868,126,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=81nNu0azWF4,2026-08-12,Renan Santos,MISSÃO,Candidato
CAW3RKzd09M,Resposta para José Dirceu,2026-08-08T18:00:35Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",151944,17212,686,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=CAW3RKzd09M,2026-08-12,Renan Santos,MISSÃO,Candidato
-8Aowj11e3o,Esse vídeo é o argumento irrefutável para derrubar a maioridade penal.,2026-08-08T14:30:09Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",156911,21783,1338,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=-8Aowj11e3o,2026-08-12,Renan Santos,MISSÃO,Candidato
oNvwAFzoTPU,Vamos matar quem roubar?,2026-08-08T12:00:12Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",40882,4442,177,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=oNvwAFzoTPU,2026-08-12,Renan Santos,MISSÃO,Candidato
FfJMuX-VYZA,Resposta à Globo News: eu sou antidemocrático?,2026-08-07T20:00:28Z,"Renan Santos é pré-candidato a Presidente da República
Ajude na vaquinha https://queroapoiar.com.br/renan

Entre nos grupos de zap!
http://zap.renansantosmbl.com/

Siga no Instagram 
http://instagram.com/renansantosmbl

Twitter
http://x.com/renansantosmbl

Tiktok
http://tiktok.com/@renansantosmbl 

Whatsapp
https://whatsapp.com/channel/0029Val4r3qHrDZXLe3VFm1e",83246,10836,478,UCMLluq-qSne85Un73ToYI2w,Renan Santos,https://www.youtube.com/watch?v=FfJMuX-VYZA,2026-08-12,Renan Santos,MISSÃO,Candidato
